Common	Scientific	Rating	Tag
Bristly locust	Robinia hispida	2	
Sage	Salvia	2	
Peruvian pepper	Schinus molle	2	
Chilean pepper	Schinus polygamus	2	
	Sideroxylon	2	
	Sophora	2	
	Sorbus	2	
Common whitebeam	Sorbus aria	2	
Whalebone tree	Streblus brunonianus	2	
Queen palm	Syagrus romanzoffiana	2	
Queen palm	Syagrus romanzoffianum	2	mis
Lilly pilly	Syzygium	2	
Creek lilly pilly	Syzygium smithii	2	
American linden	Tilia americana	2	
Crimean linden	Tilia euchlora	2	
Silver linden	Tilia tomentosa	2	
Elm	Ulmus	2	
Wych elm	Ulmus glabra	2	
English elm	Ulmus procera	2	
Needle bush	Vachellia farnesiana	2	
Black haw	Viburnum prunifolium	2	
Five-leaved chaste tree	Vitex negundo	2	
Grape	Vitis 	2	
Desert fan palm	Washingtonia filifera	2	
Mexican fan palm	Washingtonia robusta	2	
Yellowhorn	Xanthoceras sorbifolium	2	
	Xylosma	2	
Spineless yucca	Yucca elephantipes	2	syn
Faxon yucca	Yucca faxoniana	2	
Spineless yucca	Yucca gigantea	2	
Moundlily yucca	Yucca gloriosa	2	
Spineless yucca	Yucca guatemalensis	2	syn
Faxon yucca	Yucca torreyi	2	syn
	Zanthoxylum	2	
Common pricklyash	Zanthoxylum americanum	2	
Sourwood	Oxydendrum arboreum	2	
Cootamundra wattle	Acacia baileyana	3	
Curve-leaf yucca	Yucca recurvifolia	1	
Fruitipedia	Aberia	2	
Fruitipedia	Acanthosyris	2	
Fruitipedia	Acertatum	2	
Fruitipedia	Achradelpha	2	
Fruitipedia	Acrocomia	2	
Fruitipedia	Afrocarpus	2	
Fruitipedia	Afromomum	2	
Fruitipedia	Aglaia	2	
Fruitipedia	Akebia	2	
Fruitipedia	Alangium	2	
Fruitipedia	Aiphanes	2	
Fruitipedia	Allagoptera	2	
Fruitipedia	Ambelania	2	
Fruitipedia	Anisophyllea	2	
Fruitipedia	Anacolosa	2	
Fruitipedia	Annanas	2	
Fruitipedia	Anonidium	2	
Fruitipedia	Anthopterus	2	
Fruitipedia	Archidendron	2	
Fruitipedia	Ardisia	2	
Fruitipedia	Aristotelia	2	
Fruitipedia	Armeniaca	2	
Fruitipedia	Artocarps	2	
Fruitipedia	Astrocarynum	2	
Fruitipedia	Astrocaryum	2	
Fruitipedia	Azanza	2	
Fruitipedia	Baccaurea	2	
Fruitipedia	Balanites	2	
Fruitipedia	Bassia	2	
Fruitipedia	Bellucia	2	
Fruitipedia	Berberis	2	
Fruitipedia	Berchemia	2	
Fruitipedia	Bergera	2	
Fruitipedia	Boscia	2	
Fruitipedia	Brosimum	2	
Fruitipedia	Buchenavia	2	
Fruitipedia	Bunchosia	2	
Fruitipedia	Burbroma	2	
Fruitipedia	Burchellia	2	
Fruitipedia	Byrsonima	2	
Fruitipedia	Cactus	2	
Fruitipedia	Cadaba	2	
Fruitipedia	Callicarpum	2	
Fruitipedia	Calocarpum	2	
Fruitipedia	Calopcarpum	2	
Fruitipedia	Calophyllum	2	
Fruitipedia	Campomaesia	2	
Fruitipedia	Canthium	2	
Fruitipedia	Carldovica	2	
Fruitipedia	Caryocar	2	
Fruitipedia	Casearia	2	
Fruitipedia	Cassinopsis	2	
Fruitipedia	Cassia	2	
Fruitipedia	Cavendishia	2	
Fruitipedia	Cerasus	2	
Fruitipedia	Cereus	2	
Fruitipedia	Chamaepericlymenum	2	
Fruitipedia	Cheiloclinium	2	
Fruitipedia	Cheilosa	2	
Fruitipedia	Chondodendron	2	
Fruitipedia	Chryobalanus	2	
Fruitipedia	Chrysophylum	2	
Fruitipedia	Cicca	2	
Fruitipedia	Cleistocalyx	2	
Fruitipedia	Colpoon	2	
Fruitipedia	Cordia	2	
Fruitipedia	Cordiera	2	
Fruitipedia	Cordierra	2	
Fruitipedia	Cornella	2	
Fruitipedia	Couma	2	
Fruitipedia	Coupea	2	
Fruitipedia	Cragaegus	2	
Fruitipedia	Crataeva	2	
Fruitipedia	Crossopetalum	2	
Fruitipedia	Cynometra	2	
Fruitipedia	Cryptocarya	2	
Fruitipedia	Dacryodes	2	
Fruitipedia	Debregeasia	2	
Fruitipedia	Detarium	2	
Fruitipedia	Decachaena	2	
Fruitipedia	Dilenia	2	
Fruitipedia	Dillenia	2	
Fruitipedia	Diopyros	2	
Fruitipedia	Dipteryx	2	
Fruitipedia	Docynia	2	
Fruitipedia	Duguetia	2	
Fruitipedia	Englerophytum	2	
Fruitipedia	Emblica	2	
Fruitipedia	Empetrum	2	
Fruitipedia	Endopleura	2	
Fruitipedia	Enterpe	2	
Fruitipedia	Epiphyllum	2	
Fruitipedia	Euphoria	2	
Fruitipedia	Euphorbia	2	
Fruitipedia	Ferronia	2	
Fruitipedia	Feronia	2	
Fruitipedia	Flueggea	2	
Fruitipedia	Fragaraia	2	
Fruitipedia	Frgaria	2	
Fruitipedia	Fuchsia	2	
Fruitipedia	Garcina	2	
Fruitipedia	Genipa	2	
Fruitipedia	Glycosmis	2	
Fruitipedia	Guilielma	2	
Fruitipedia	Hairy	2	
Fruitipedia	Hancornia	2	
Fruitipedia	Hylocereus	2	
Fruitipedia	Hymenaea	2	
Fruitipedia	Hynenacea	2	
Fruitipedia	Jambos	2	
Fruitipedia	Jambosa	2	
Fruitipedia	Jaracatia	2	
Fruitipedia	Jessenia	2	
Fruitipedia	Juniperous	2	
Fruitipedia	Labatia	2	
Fruitipedia	Lacmellea	2	
Fruitipedia	Lahia	2	
Fruitipedia	Landolphia	2	
Fruitipedia	Lansium	2	
Fruitipedia	Lardizabala	2	
Fruitipedia	Laurocerasus	2	
Fruitipedia	Lepisanthes	2	
Fruitipedia	Licania	2	
Fruitipedia	Limonia	2	
Fruitipedia	Litsea	2	
Fruitipedia	Listea	2	
Fruitipedia	Lucuma	2	
Fruitipedia	Madhuca	2	
Fruitipedia	Mammea	2	
Fruitipedia	Maripa	2	
Fruitipedia	Marungi	2	
Fruitipedia	Marlierea	2	
Fruitipedia	Mauritia	2	
Fruitipedia	Maximiliana	2	
Fruitipedia	Melancia	2	
Fruitipedia	Melia	2	
Fruitipedia	Meliococca	2	
Fruitipedia	Milnea	2	
Fruitipedia	Momordica	2	
Fruitipedia	Mouriri	2	
Fruitipedia	Muntingia	2	
Fruitipedia	Murraya	2	
Fruitipedia	Myrcianthes	2	
Fruitipedia	Myrianthus	2	
Fruitipedia	Noronhia	2	
Fruitipedia	Osyris	2	
Fruitipedia	Oxycoccus	2	
Fruitipedia	Otolepis	2	
Fruitipedia	Pachylobus	2	
Fruitipedia	Padus	2	
Fruitipedia	Paramyrciaria	2	
Fruitipedia	Passiflra	2	
Fruitipedia	Peritassa	2	
Fruitipedia	Phyllocalyx	2	
Fruitipedia	Phylodendron	2	
Fruitipedia	Pilosocereus	2	
Fruitipedia	Pithecellobium	2	
Fruitipedia	Pithecellabium	2	
Fruitipedia	Pithocollabium	2	
Fruitipedia	Plancholia	2	
Fruitipedia	Plectronia	2	
Fruitipedia	Plinia	2	
Fruitipedia	Pometia	2	
Fruitipedia	Poraqueiba	2	
Fruitipedia	Porcelia	2	
Fruitipedia	Posoqueria	2	
Fruitipedia	Poteria	2	
Fruitipedia	Pradosia	2	
Fruitipedia	Puteria	2	
Fruitipedia	Quararibea	2	
Fruitipedia	Rajania	2	
Fruitipedia	Rhacoma	2	
Fruitipedia	Rhamnidium	2	
Fruitipedia	Rhoicissus	2	
Fruitipedia	Ricinodendron	2	
Fruitipedia	Rollinea	2	
Fruitipedia	Rubachia	2	
Fruitipedia	Rumea	2	
Fruitipedia	Saba	2	
Fruitipedia	Salaca	2	
Fruitipedia	Salacia	2	
Fruitipedia	Sandoricum	2	
Fruitipedia	Saurauia	2	
Fruitipedia	Scheelia	2	
Fruitipedia	Schinziophyton	2	
Fruitipedia	Seclerocarya	2	
Fruitipedia	Selenicereus	2	
Fruitipedia	Sicana	2	
Fruitipedia	Sonneratia	2	
Fruitipedia	Stelechocarpus	2	
Fruitipedia	Stilago	2	
Fruitipedia	Syzigium	2	
Fruitipedia	Tabernaemontana	2	
Fruitipedia	Tacsonia	2	
Fruitipedia	Talisia	2	
Fruitipedia	Tapura	2	
Fruitipedia	Tetrastigma	2	
Fruitipedia	Thibaudia	2	
Fruitipedia	Tontelia	2	
Fruitipedia	Treculia	2	
Fruitipedia	Trema	2	
Fruitipedia	Triphasia	2	
Fruitipedia	Uapaca	2	
Fruitipedia	Upaca	2	
Fruitipedia	Unedo	2	
Fruitipedia	Vasconcellea	2	
Fruitipedia	Vasconcella	2	
Fruitipedia	Vibrunum	2	
Fruitipedia	Willughbeia	2	
Fruitipedia	Willurbheia	2	
Fruitipedia	Xanthochymus	2	
Fruitipedia	Ximenia	2	
Fruitipedia	Zalacca	2	
Fruitipedia	Zizyphus	2	
Fruitipedia	Zschokkea	2	
