Common	Scientific	Rating	Tag
Common orache	Atriplex patula	1	
Midyim	Austromyrtus dulcis	1	
Starfruit	Averrhoa carambola	1	
Peach palm	Bactris gasipaes	1	
Kousa dogwood	Benthamidia kousa	1	syn
Brazil Nut	Bertholletia excelsa	1	
Apple berry	Billardiera scandens	1	
Annatto	Bixa orellana	1	
Ackee	Blighia sapida	1	
Borojo	Borojoa patinoi	1	syn
Plum mango	Bouea macrophylla	1	
Kurrajong	Brachychiton populneum	1	mis
Kurrajong	Brachychiton populneus	1	
Guadalupe palm	Brahea edulis	1	
Paper mulberry	Broussonetia papyrifera	1	
Jelly palm	Butia capitata	1	
Wooly jelly palm	Butia eriospatha	1	
Jelly palm	Butia odorata	1	syn
Tea	Camellia sinensis	1	
Pili nut	Canarium ovatum	1	
	Capparis canescens	1	
Siberian peashrub	Caragana arborescens 	1	
Papaya	Carica papaya	1	
Babaco	Carica pentagona	1	
Hickory	Carya	1	
Pecan	Carya illinoinensis	1	
Shellbark hickory	Carya laciniosa	1	
Shagbark Hickory	Carya ovata	1	
Black hickory	Carya texana	1	
White Sapote	Casimiroa edulis	1	
Chestnut	Castanea	1	
Japanese chestnut	Castanea crenata	1	
American chestnut	Castanea dentata	1	
Chinese chestnut	Castanea mollissima	1	
Sweet chestnut	Castanea sativa	1	
Chinese toon	Cedrela sinensis	1	syn
Hackberry	Celtis	1	
Mediterranean Hackberry	Celtis australis	1	
Common Hackberry	Celtis occidentalis	1	
Netleaf Hackberry	Celtis reticulata	1	
Plum Yew	Cephalotaxus	1	
Chinese Plum Yew	Cephalotaxus fortunei	1	
Japanese Plum Yew	Cephalotaxus harringtonia	1	
Chinese Plum Yew	Cephalotaxus sinensis	1	
Taiwan Plum Yew	Cephalotaxus wilsoniana	1	
Carob	Ceratonia siliqua	1	
Eastern redbud	Cercis canadensis	1	
Western redbud	Cercis occidentali	1	
Judas tree	Cercis siliquastrum	1	
	Chaenomeles	1	
Lapsi	Choerospondias axillaris	1	
Star apple	Chrysophyllum cainito	1	
Calamondin	Citrofortunella microcarpa	1	
Calamondin	Citrus microcarpa	1	syn
