locale,variant,ISO639.1,ISO639.2T,ISO639.2B,ISO639.3,ISO639.6,wikipedia,other,autonym,en,fr,de,ru,es,it,zh,ISO639.3_macro,scope,type,family,retired,wikipedia_url,notes
,,ee,ewe,ewe,ewe,,ee,,eʋegbe,ewe,éwé,ewe,эве,efé,,"埃维语, 幽语",,individual,living,niger–congo,FALSE,,
,,el,ell,gre,ell,ells,el,,ελληνικά,"greek, modern greek, greek (modern)","grec, grec (moderne), grec moderne",griechisch,"греческий, новогреческий","griego, griego moderno, griego (moderno)",,现代希腊语,,individual,living,indo-european,FALSE,,
,,en,eng,eng,eng,engs,"en, simple",,english,"english, simple english, international english",anglais,englisch,английский,inglés,,英语,,individual,living,indo-european,FALSE,,
,,eo,epo,epo,epo,,eo,,esperanto,esperanto,espéranto,esperanto,эсперанто,esperanto,,世界语,,individual,constructed,constructed,FALSE,,"constructed, initiated from l.l. zamenhof, 1887"
,,es,spa,spa,spa,,es,,español,"spanish, castilian, spanish (castilian)",espagnol,spanisch,испанский,español,,西班牙语,,individual,living,indo-european,FALSE,,
,,et,est,est,est,,et,,eesti,estonian,estonien,estnisch,эстонский,estonio,,爱沙尼亚语,,macro,living,,FALSE,,
,,eu,eus,baq,eus,,eu,,"euskara, euskera",basque,basque,baskisch,баскский,"euskera, vasco",,巴斯克语,,individual,living,language isolate,FALSE,,
,,fa,fas,per,fas,,fa,,فارسی,persian,persan,persisch,персидский,persa,,波斯语,,macro,living,indo-european,FALSE,,
,,ff,ful,ful,ful,,ff,,fulfulde,"fulah, fula",peul,ful,фулах,,,"富拉语, 弗拉尼语",,macro,living,,FALSE,,
,,fi,fin,fin,fin,,fi,,"suomi, suomen kieli",finnish,finnois,finnisch,финский,"finés, finlandés",,芬兰语,,individual,living,uralic,FALSE,,
,,fj,fij,fij,fij,,fj,,"na vosa vakaviti, vosa vakaviti",fijian,fidjien,fidschianisch,фиджи,"fijiano, fidjiano",,斐济语,,individual,living,austronesian,FALSE,,
,,fo,fao,fao,fao,,fo,,føroyskt,faroese,féroïen,färöisch,фарерский,feroés,,"法罗斯语, 法罗语",,individual,living,indo-european,FALSE,,
,,fr,fra,fre,fra,fras,fr,,"français, langue française",french,français,französisch,французский,francés,,法语,,individual,living,indo-european,FALSE,,
,,fy,fry,fry,fry,,fy,,frysk,"western frisian, west frisian",frison (occidental),westfriesisch,западнофризский,,,"弗里西亚语, 西弗里西亚语",,individual,living,indo-european,FALSE,,
,,ga,gle,gle,gle,,ga,,gaeilge,irish,"irlandais, gaélique irlandais",irisch,ирландский,irlandés,,爱尔兰语,,individual,living,indo-european,FALSE,,
,,gd,gla,gla,gla,,gd,,gàidhlig,"scottish gaelic, gaelic, gaelic (scots)","écossais , gaélique écossais",schottisch-gälisch,шотландский гэльский,gaélico escocés,,,,individual,living,indo-european,FALSE,,
,,gl,glg,glg,glg,,gl,,galego,galician,galicien,galicisch,галисийский,gallego,,"加利西亚语, 加里西亚语",,individual,living,indo-european,FALSE,,
,,gn,grn,grn,grn,,gn,,avañe'ẽ,guarani,guarani,guaraní,гуарани,guaraní,,瓜拉尼语,,macro,living,,FALSE,,
,,gu,guj,guj,guj,,gu,,ગુજરાતી,gujarati,gujarâtî,gujarati,гуджарати,guyaratí,,古吉拉特语,,individual,living,indo-european,FALSE,,
,,gv,glv,glv,glv,,gv,,"gaelg, gailck",manx,manx,manx,мэнский,manés,,"马恩岛语, 曼岛语",,individual,living,indo-european,FALSE,,
